,train,val,r2,mse,learning_rate,nu,incuding_points
0,0.5355684399604798,1146.1755538940429,0.10105068488280873,0.22729673013503565,0.5,0.5,150
1,0.5370475500822067,1010.7687458583287,0.10046399073038617,0.22744507405186437,0.45,0.5,150
2,0.5380791425704956,861.9070558820451,0.10088072416614105,0.22733970420988095,0.4,0.5,150
3,0.5403219044208527,813.6202011108398,0.1006819150168948,0.2273899725273319,0.35,0.5,150
4,0.5425632715225219,792.6378649030414,0.10025369230251287,0.22749824740013252,0.3,0.5,150
5,0.5468112230300903,773.3357561383929,0.10152014193550815,0.22717802927924438,0.25,0.5,150
6,0.5521403104066849,767.5081277029856,0.10292524132619225,0.2268227539687831,0.19999999999999996,0.5,150
7,0.5571910828351975,765.6665605817522,0.10538838135712214,0.22619995614750424,0.14999999999999997,0.5,150
8,0.5638030529022217,769.5607971191406,0.1058849093782684,0.22607441047576385,0.09999999999999998,0.5,150
9,0.5700907588005066,342.7410679408482,0.1003636869440467,0.22747043557366733,0.05,0.5,150
